t,q_actual_0,dq_actual_0,tau_est_0,q_cmd_0,q_ref_0,dq_ref_0,q_actual_1,dq_actual_1,tau_est_1,q_cmd_1,q_ref_1,dq_ref_1,q_actual_2,dq_actual_2,tau_est_2,q_cmd_2,q_ref_2,dq_ref_2,q_actual_3,dq_actual_3,tau_est_3,q_cmd_3,q_ref_3,dq_ref_3,q_actual_4,dq_actual_4,tau_est_4,q_cmd_4,q_ref_4,dq_ref_4,q_actual_5,dq_actual_5,tau_est_5,q_cmd_5,q_ref_5,dq_ref_5,q_actual_6,dq_actual_6,tau_est_6,q_cmd_6,q_ref_6,dq_ref_6,q_actual_7,dq_actual_7,tau_est_7,q_cmd_7,q_ref_7,dq_ref_7,q_actual_8,dq_actual_8,tau_est_8,q_cmd_8,q_ref_8,dq_ref_8,q_actual_9,dq_actual_9,tau_est_9,q_cmd_9,q_ref_9,dq_ref_9,q_actual_10,dq_actual_10,tau_est_10,q_cmd_10,q_ref_10,dq_ref_10,q_actual_11,dq_actual_11,tau_est_11,q_cmd_11,q_ref_11,dq_ref_11
0.22,0.00724375,0.0387552,-1.83063,-0.0788899,-0.00805514,0.0782617,0.973013,-0.0155021,1.45956,1.04471,0.953657,-0.0768587,-2.12435,-0.404402,4.83633,-2.02832,-2.07252,-0.933373,-0.0472706,0.0193776,1.92959,0.0516641,-0.00756035,0.0808859,0.948185,0.0116266,1.11322,0.995055,0.967204,-0.074254,-2.11312,-0.220399,3.03456,-2.03952,-2.04676,-0.824445,0.0727089,0.193776,-5.66507,-0.200174,0.0263921,0.124851,0.962743,-0.089137,2.42435,1.10619,0.958842,-0.375572,-2.09199,-0.131431,7.63382,-1.89135,-2.08578,-0.235772,-0.101927,0.186025,6.13509,0.228231,0.026619,0.123612,0.961563,0.0232531,3.78496,1.19254,0.988832,-0.386079,-2.08977,-0.0404403,10.3839,-1.78497,-2.09582,-0.164574
0.24,0.00760708,-0.00387552,-1.83063,-0.0842993,-0.0068357,0.0332711,0.975193,0.158896,1.26165,1.04287,0.952149,-0.0732556,-2.13318,-0.503481,5.50014,-2.01159,-2.08869,-0.619513,-0.0476037,-0.0348797,2.0038,0.0651785,-0.0062914,0.0356717,0.949881,0.0697594,0.841102,0.981769,0.965787,-0.063017,-2.11597,-0.155695,3.41388,-2.02825,-2.06098,-0.53634,0.0760697,0.255785,-6.06088,-0.224206,0.0284452,0.0766694,0.96347,-0.0232531,2.94386,1.12314,0.951061,-0.388829,-2.09309,-0.0141541,8.58212,-1.85084,-2.08699,0.138891,-0.0975062,0.209278,6.6546,0.289831,0.0286494,0.0759768,0.964712,0.201527,4.62606,1.22555,0.980834,-0.390039,-2.08854,-0.0283082,12.7546,-1.70709,-2.09575,0.185013
0.26,0.00860625,0.0930126,-2.12749,-0.0682703,-0.00672429,-0.0207968,0.979099,0.158896,1.21218,1.04072,0.950727,-0.0608891,-2.1396,-0.26084,5.87947,-1.98298,-2.0973,-0.192255,-0.0461201,0.127892,2.15223,0.0820333,-0.00613348,-0.018592,0.952364,0.193776,0.470027,0.95623,0.964684,-0.0400379,-2.118,-0.0161761,3.69837,-1.98972,-2.06821,-0.137377,0.0812774,0.445685,-6.77829,-0.238102,0.0294588,0.0277356,0.964227,-0.0581329,3.29019,1.15102,0.943289,-0.363298,-2.09281,0.0222421,10.1942,-1.79014,-2.08023,0.533199,-0.0899974,0.511569,7.54518,0.30781,0.029658,0.0280342,0.968829,0.143394,5.31873,1.22748,0.97323,-0.341754,-2.08575,0.101101,15.7418,-1.65166,-2.08842,0.540662
0.28,0.0120579,0.162772,-1.83063,-0.0547761,-0.00766757,-0.0631718,0.982884,0.197652,0.964793,1.04487,0.949713,-0.0322238,-2.14475,-0.0606604,6.87518,-1.90461,-2.09638,0.335705,-0.0431529,0.341046,2.20171,0.0937761,-0.00703508,-0.0614196,0.954271,0.0968881,0.0247383,0.971717,0.964186,-0.00618845,-2.11811,-0.0586384,5.45273,-1.93315,-2.06648,0.36273,0.0874238,0.244158,-7.1741,-0.227506,0.0295547,-0.011559,0.966952,0.162772,3.686,1.12937,0.936529,-0.281172,-2.09083,0.0727924,12.6124,-1.72989,-2.06567,0.908118,-0.081671,0.627835,7.54518,0.327716,0.0297708,-0.0102554,0.973189,0.0852615,5.31873,1.19427,0.967164,-0.235884,-2.07908,0.614692,16.8323,-1.62789,-2.07413,0.876927
0.3,0.0176592,0.422432,-1.92959,-0.0786788,-0.00925116,-0.0808562,0.986456,0.127892,1.06375,1.06627,0.949438,-0.00436008,-2.14397,0,10.1942,-1.82429,-2.08387,0.992674,-0.0377332,0.228656,2.5233,0.126414,-0.00859026,-0.0800814,0.956451,0.251909,0.0494766,1.00955,0.964436,0.015083,-2.11614,0.212311,7.11226,-1.88498,-2.0537,0.992584,0.0947812,0.310042,-7.07515,-0.254612,0.0289965,-0.0383215,0.967406,-0.0620084,3.46336,1.12255,0.932042,-0.148861,-2.08698,0.495393,13.9874,-1.69713,-2.0439,1.2811,-0.0727391,0.569702,7.79256,0.389002,0.0292478,-0.0363298,0.973765,0.0658839,4.57658,1.20713,0.963795,-0.0898421,-2.07153,0.475173,17.2591,-1.54477,-2.05335,1.22196
0.32,0.0217467,0.197652,-2.42435,-0.0658134,-0.00925116,-0.0808562,0.99121,0.0930126,1.41008,1.05655,0.949438,-0.00436008,-2.13987,0.293192,12.6124,-1.83885,-2.08387,0.992674,-0.0315869,0.341046,2.94386,0.122902,-0.00859026,-0.0800814,0.965504,0.364299,0.56898,0.996698,0.964436,0.015083,-2.10704,0.477195,8.25022,-1.87469,-2.0537,0.992584,0.101563,0.383677,-7.84204,-0.212902,0.0289965,-0.0383215,0.966558,-0.104639,3.33967,1.04877,0.932042,-0.148861,-2.07459,0.640978,14.5564,-1.7664,-2.0439,1.2811,-0.0620815,0.383677,9.15316,0.313042,0.0292478,-0.0363298,0.974643,-0.116266,4.99713,1.11643,0.963795,-0.0898421,-2.05605,1.03325,19.3928,-1.66795,-2.05335,1.22196
0.34,0.030073,0.399179,-2.30066,-0.173809,-0.012089,-0.0382997,0.995116,0.209278,0.989531,1.16445,0.947788,-0.268696,-2.13555,0.365984,11.3796,-1.32561,-2.00949,3.0585,-0.0248653,0.356548,2.67173,0.287923,-0.0114593,-0.040921,0.967079,0.143394,0.544242,1.21728,0.96274,-0.301707,-2.09469,0.681418,7.49158,-1.46312,-1.98043,3.00345,0.109466,0.267411,-6.90198,-0.314191,0.0267239,-0.0738509,0.963258,0.135643,1.6822,1.22872,0.930799,-0.0835523,-2.06518,0.806783,10.6684,-1.24443,-1.9733,2.58259,-0.0549662,0.724723,7.02567,0.511542,0.0270612,-0.0722248,0.9711,0.166648,2.91912,1.24355,0.964706,-0.0604436,-2.04373,1.05751,13.0866,-1.34592,-1.98555,2.52142
0.36,0.0341302,1.02701,-5.51664,-0.302508,-0.0124338,0.0114103,1.00259,-0.341046,3.78496,1.0687,0.938791,-0.855842,-2.09308,2.8571,26.5998,-1.36465,-1.93433,4.706,-0.00981732,0.267411,6.06088,0.341152,-0.0118752,0.00723246,0.9771,-0.267411,5.44242,1.28288,0.952721,-0.926311,-2.05431,2.44866,19.9617,-1.23511,-1.90663,4.63045,0.1197,1.63547,-10.6375,-0.470883,0.0250678,-0.0897295,0.96677,-0.775105,6.35774,1.07215,0.927232,-0.551987,-2.01716,3.25948,26.9792,-1.33978,-1.91112,4.02184,-0.0419469,0.00387552,11.6765,0.5201,0.0254286,-0.0893736,0.971918,-0.383677,6.13509,1.14087,0.961152,-0.587863,-2.00253,1.80161,24.0394,-1.02223,-1.92439,3.98962
0.38,0.0338577,-0.794482,-6.35774,-0.108367,-0.0116326,0.0797814,0.997871,-0.418557,1.90485,1.22783,0.913555,-1.92126,-2.05491,2.82677,22.5696,-0.796436,-1.82125,6.79579,-0.00545736,0.364299,6.90198,0.344164,-0.01117,0.0748817,0.974951,-0.612333,7.19884,1.34971,0.925688,-2.03167,-1.99994,3.7751,24.2291,-1.15215,-1.79521,6.72401,0.117368,-0.902997,-11.4786,-0.610379,0.0231347,-0.0883169,0.960927,0.279038,2.0038,1.57707,0.908719,-1.67449,-1.98534,1.86632,22.8066,-0.234463,-1.81243,6.27963,-0.0392825,-0.0310042,11.7754,0.688832,0.0234862,-0.0897717,0.967981,-0.740225,4.42815,1.32887,0.941192,-1.7909,-1.95296,3.74274,31.2939,-0.827943,-1.82596,6.29635
0.4,0.050359,2.00365,-5.26925,-0.152028,-0.00924255,0.162432,0.986577,-1.91838,6.9762,0.891366,0.861941,-3.28353,-1.94896,7.91416,30.393,-1.32584,-1.6625,8.92297,0.00786475,0.616208,6.40722,0.139089,-0.00887991,0.157905,0.961084,-1.01926,9.20264,1.0026,0.871454,-3.4348,-1.91403,5.89619,19.9617,-1.12358,-1.63767,8.89857,0.122213,2.11991,-17.3663,-0.528536,0.0215351,-0.0492336,0.970737,-2.05403,14.9172,1.2336,0.860252,-3.33818,-1.89451,7.42685,51.0186,-0.86064,-1.65993,9.02555,-0.0236593,0.143394,14.8924,0.378093,0.0218378,-0.052274,0.962834,-0.457312,8.1389,1.23184,0.889516,-3.53068,-1.87637,4.29678,34.0914,-0.431787,-1.67254,9.10441
0.42,0.0374304,-2.97253,-0.841102,0.281718,-0.00513528,0.104492,0.944794,-1.62384,0.519504,0.73245,0.782214,-4.03346,-1.83963,5.16826,9.48301,-1.00415,-1.46434,9.53488,-0.00542708,-0.592955,3.43862,0.222941,-0.00485377,0.301076,0.925507,-1.87575,3.56231,0.717607,0.788296,-4.21719,-1.78639,7.44505,11.1899,-1.19783,-1.43927,9.48267,0.113402,-3.26707,-9.99427,-0.0546701,0.0211653,-0.114646,0.941973,-0.0426308,5.96193,1.39169,0.775192,-4.36604,-1.79102,5.15815,27.4059,-0.346792,-1.45141,10.0473,-0.0380411,-1.71298,10.4643,0.130864,0.0213953,0.0602627,0.94603,-2.19742,8.23785,0.932989,0.799964,-4.58068,-1.76229,7.84743,38.8329,-1.2013,-1.46179,10.1394
0.44,0.0552639,2.31369,2.30066,-0.123902,-0.00506289,-0.388052,0.898106,-3.20893,-0.247383,0.664533,0.700603,-3.57979,-1.69765,10.5205,7.49158,-1.42091,-1.2811,7.33257,0.00937863,1.56571,2.82016,0.119632,0.00316311,0.674894,0.864831,-3.05391,0.14843,0.436285,0.702766,-3.73978,-1.65348,7.42281,3.31905,-1.1469,-1.25837,7.02832,0.123817,2.22068,-5.93719,0.152976,0.0169493,-0.631918,0.904913,-3.96079,14.2493,0.973943,0.685611,-3.79101,-1.6434,10.8198,31.6732,-1.22597,-1.25804,7.41156,-0.0400697,1.92614,1.50904,-0.0872793,0.0242483,0.367843,0.888261,-0.937877,1.73168,0.636792,0.706289,-3.91938,-1.64687,5.1804,7.01743,-1.27953,-1.26696,7.45391
0.46,0.0345844,-2.71674,-0.593719,-0.0453345,-0.0206574,-1.1655,0.838096,-2.79813,-0.742148,0.688637,0.639022,-2.42507,-1.54391,3.86609,-2.03885,-1.05402,-1.17103,3.93898,0.0299976,0.395303,1.55851,0.0653243,0.022142,1.272,0.795132,-4.59637,-2.82016,0.708602,0.638705,-2.62574,-1.50009,7.78677,-0.0948301,-1.01927,-1.15814,3.52693,0.125967,-1.99977,2.62226,-0.0812646,-0.00411138,-1.50927,0.841209,-0.267411,2.8449,0.505284,0.623551,-2.36543,-1.50467,3.88833,3.08198,-1.1115,-1.15495,3.55999,-0.0235382,0.693719,-2.07802,0.0286738,0.036109,0.850421,0.846599,-2.82526,-1.41008,0.697042,0.643189,-2.31709,-1.53314,6.1085,-1.51728,-1.14838,-1.16363,3.57066
0.48,0.0108165,-1.46495,0.247383,-0.211784,-0.0516828,-1.79937,0.799795,-2.79425,0.14843,0.575303,0.6036,-1.19262,-1.44715,6.35519,2.60783,-1.10325,-1.12354,1.47297,0.0328134,-0.100764,0.667934,0.247868,0.0540431,1.82911,0.745296,-2.48034,1.80589,0.225933,0.597737,-1.51364,-1.36229,6.98807,-0.047415,-1.04621,-1.11729,1.22471,0.0926921,-1.56571,-2.10275,-0.114543,-0.0434216,-2.24638,0.805694,-2.31756,-3.88391,0.498197,0.590994,-1.01447,-1.41624,5.98111,0.47415,-1.0411,-1.11564,1.1445,-0.00885355,0.282913,0.544242,0.0208585,0.0582651,1.27466,0.802969,-2.41833,0.0494766,0.527824,0.613605,-0.832789,-1.42482,5.23903,0.47415,-1.04236,-1.12414,1.15228
0.5,-0.0349026,-2.06565,-1.78116,-0.14604,-0.0926323,-2.17991,0.738392,-2.5656,-0.940055,0.613119,0.591317,-0.135854,-1.33556,5.57469,-1.13796,-1.14878,-1.11211,-0.00366271,0.0461658,1.84087,2.10275,0.154389,0.0953063,2.15047,0.669753,-4.89866,-4.50237,0.594413,0.578159,-0.465471,-1.26511,4.69511,-0.663811,-1.11206,-1.10915,-0.161174,0.0567223,-2.0424,-1.38534,-0.15866,-0.0939665,-2.66322,0.744745,-3.73988,-1.38534,0.51752,0.582972,0.132999,-1.30294,5.34418,-0.47415,-1.13553,-1.10917,-0.221393,-0.00591666,0.569702,0.0494766,0.110325,0.0870956,1.52666,0.739507,-3.73601,-0.667934,0.620003,0.609878,0.335479,-1.32046,5.46348,0.237075,-1.11202,-1.11754,-0.222936
0.52,-0.0688134,-1.51533,-0.0494766,-0.288176,-0.138879,-2.38706,0.694823,-1.80212,0.0494766,0.656239,0.598166,0.773109,-1.25261,3.00269,-0.995716,-1.25472,-1.12369,-0.985688,0.0781389,1.70911,-0.123691,0.216027,0.140062,2.23943,0.601871,-3.58098,3.4881,0.771669,0.579118,0.519787,-1.18917,2.19186,-1.04313,-1.22886,-1.12374,-1.1885,0.0037064,-3.04616,-0.346336,-0.306441,-0.14995,-2.85918,0.674289,-3.82902,0.420551,0.692042,0.596314,1.13712,-1.22201,3.07144,-2.27592,-1.19498,-1.12449,-1.13252,0.011281,0.825487,1.26165,0.143549,0.119331,1.63882,0.687218,-2.30594,0.940055,0.710644,0.627024,1.30392,-1.23562,3.15636,-0.995716,-1.22487,-1.13305,-1.16321
0.54,-0.123162,-3.26319,-0.14843,-0.26408,-0.188115,-2.46956,0.666937,-0.930126,0.667934,0.847297,0.622241,1.51927,-1.22547,0.163783,-1.09055,-1.30035,-1.15154,-1.52838,0.123949,2.09278,-0.14843,0.200733,0.184883,2.17036,0.572199,0.461187,3.71074,0.74718,0.598951,1.36457,-1.17799,-0.580318,-0.853471,-1.28717,-1.15669,-1.88521,-0.0609664,-3.52285,-1.45956,-0.399907,-0.208334,-2.86847,0.63293,-1.6936,3.06755,0.76233,0.628457,1.95277,-1.19259,0.0545943,0,-1.23635,-1.15447,-1.56809,0.0346552,1.09677,1.11322,0.178935,0.152648,1.61237,0.65909,-0.255785,1.26165,0.793933,0.662034,2.06564,-1.20729,0.228487,-0.900886,-1.29881,-1.16407,-1.65163
0.56,-0.176178,-3.02291,1.28639,-0.307934,-0.188115,-2.46956,0.67154,1.02701,2.5233,0.76671,0.622241,1.51927,-1.23588,-0.936192,-0.616396,-1.3033,-1.15154,-1.52838,0.158223,1.45332,-0.643195,0.237514,0.184883,2.17036,0.600509,2.09278,0.86584,0.662592,0.598951,1.36457,-1.1948,-1.29004,-1.23279,-1.25808,-1.15669,-1.88521,-0.143927,-4.47235,-0.667934,-0.286316,-0.208334,-2.86847,0.630841,0.806109,1.6822,0.619081,0.628457,1.95277,-1.19968,-0.610648,-0.28449,-1.23742,-1.15447,-1.56809,0.0621775,1.49208,0.989531,0.115746,0.152648,1.61237,0.671686,1.41069,1.08848,0.70336,0.662034,2.06564,-1.21745,-1.11817,-1.09055,-1.26778,-1.16407,-1.65163
0.58,-0.225106,-2.0114,0.346336,-0.289589,-0.281803,-1.89983,0.700879,1.40294,0.0247383,0.857115,0.701434,2.13883,-1.25498,-0.990786,-0.047415,-1.28518,-1.21294,-1.19886,0.191195,1.6316,-0.766887,0.211205,0.261523,1.43231,0.6323,1.36031,-0.791625,0.86073,0.676675,2.15986,-1.21432,-0.503481,-0.900886,-1.34348,-1.23999,-1.88148,-0.215261,-3.68175,2.25118,-0.351162,-0.311991,-1.9804,0.646797,0.193776,-0.791625,0.897929,0.727016,2.61744,-1.21029,-0.576274,0.047415,-1.31313,-1.21219,-0.997317,0.0874593,1.51921,-0.940055,0.217516,0.210602,1.21265,0.695665,1.14716,-0.940055,0.947313,0.762591,2.61931,-1.23661,-0.62278,-0.0948301,-1.32984,-1.22756,-1.17727
0.6,-0.259744,-1.48045,0.940055,-0.301866,-0.313655,-1.17804,0.732549,1.86413,0.667934,0.810716,0.74449,2.07009,-1.26539,-0.179959,-0.331905,-1.29492,-1.23278,-0.911739,0.217173,1.21691,-1.45956,0.232263,0.284169,0.761256,0.674295,1.82537,2.02854,0.873482,0.720095,2.03405,-1.22969,-1.43967,-1.80177,-1.34265,-1.2744,-1.64197,-0.269851,-2.71287,1.08848,-0.33986,-0.343905,-1.1383,0.677832,1.84087,2.74595,0.830761,0.779122,2.43316,-1.22502,-1.35273,-0.711226,-1.32041,-1.22711,-0.654465,0.125821,1.95714,-0.0494766,0.188969,0.232332,0.901032,0.729152,2.27106,2.12749,0.924498,0.814423,2.43255,-1.2469,-0.97461,-1.28021,-1.3202,-1.24621,-0.808293
0.62,-0.279363,-0.945628,0.445289,-0.309085,-0.313655,-1.17804,0.762191,1.41844,-0.321598,0.837129,0.74449,2.07009,-1.27056,-0.228487,-0.426735,-1.31543,-1.23278,-0.911739,0.233372,0.705345,-0.667934,0.264704,0.284169,0.761256,0.724465,2.67024,0.420551,0.778397,0.720095,2.03405,-1.25863,-1.32846,-0.806056,-1.30886,-1.2744,-1.64197,-0.305397,-1.3293,0.692672,-0.348031,-0.343905,-1.1383,0.720735,1.95326,0.247383,0.79902,0.779122,2.43316,-1.25299,-1.44776,0.0948301,-1.28737,-1.22711,-0.654465,0.151648,1.3293,-0.470027,0.195885,0.232332,0.901032,0.778323,2.68186,0.371074,0.890512,0.814423,2.43255,-1.26907,-0.824981,-0.521565,-1.33213,-1.24621,-0.808293
